iter	Passed	Remaining
617	1060	655
618	1061	653
619	1063	651
620	1064	649
621	1065	647
622	1067	645
623	1068	643
624	1069	641
625	1070	639
626	1071	637
627	1073	636
628	1075	634
629	1076	632
630	1077	629
631	1078	627
632	1080	626
633	1081	624
634	1082	622
635	1083	620
636	1085	618
637	1086	616
638	1088	614
639	1089	612
640	1090	610
641	1092	609
642	1093	607
643	1094	605
644	1095	603
645	1096	601
646	1098	599
647	1099	597
648	1100	595
649	1101	592
650	1102	590
651	1102	588
652	1104	586
653	1105	584
654	1106	582
655	1107	580
656	1108	578
657	1109	576
658	1110	574
659	1111	572
660	1112	570
661	1113	568
662	1114	566
663	1114	564
664	1115	562
665	1117	560
666	1118	558
667	1119	556
668	1120	554
669	1121	552
670	1122	550
671	1123	548
672	1125	546
673	1126	544
674	1127	542
675	1128	540
676	1129	538
677	1130	537
678	1131	535
679	1132	533
680	1133	531
681	1134	528
682	1135	527
683	1137	525
684	1138	523
685	1139	521
686	1140	519
687	1141	517
688	1142	515
689	1143	513
690	1144	511
691	1145	509
692	1146	507
693	1147	505
694	1149	504
695	1150	502
696	1151	500
697	1152	498
698	1153	496
699	1155	495
700	1156	493
701	1158	491
702	1159	489
703	1160	488
704	1162	486
705	1163	484
706	1164	482
707	1166	481
708	1167	479
709	1168	477
710	1170	475
711	1171	473
712	1172	471
713	1174	470
714	1176	468
715	1178	467
716	1180	465
717	1182	464
718	1182	462
719	1183	460
720	1184	458
721	1186	456
722	1187	454
723	1188	453
724	1189	451
725	1190	449
726	1191	447
727	1192	445
728	1193	443
729	1194	441
730	1195	439
731	1195	437
732	1196	435
733	1198	434
734	1200	432
735	1201	430
736	1202	428
737	1202	427
738	1203	425
739	1205	423
740	1206	421
741	1207	419
742	1208	418
743	1209	416
744	1211	414
745	1213	413
746	1214	411
747	1215	409
748	1218	408
749	1219	406
750	1221	404
751	1223	403
752	1224	401
753	1226	400
754	1227	398
755	1228	396
756	1229	394
757	1231	393
758	1231	391
759	1232	389
760	1234	387
761	1235	385
762	1236	384
763	1237	382
764	1238	380
765	1239	378
766	1239	376
767	1240	374
768	1242	373
769	1243	371
770	1244	369
771	1245	367
772	1246	366
773	1247	364
774	1249	362
775	1250	360
776	1251	359
777	1252	357
778	1253	355
779	1254	353
780	1256	352
781	1257	350
782	1257	348
783	1259	346
784	1260	345
785	1262	343
786	1263	341
787	1264	340
788	1266	338
789	1268	337
790	1269	335
791	1270	333
792	1271	331
793	1272	330
794	1274	328
795	1274	326
796	1275	324
797	1276	323
798	1277	321
799	1279	319
800	1280	318
801	1281	316
802	1281	314
803	1282	312
804	1283	310
805	1284	309
806	1285	307
807	1286	305
808	1287	304
809	1288	302
810	1289	300
811	1290	298
812	1292	297
813	1293	295
814	1294	293
815	1295	292
816	1296	290
817	1297	288
818	1299	287
819	1300	285
820	1301	283
821	1302	281
822	1303	280
823	1305	278
824	1306	277
825	1307	275
826	1308	273
827	1309	272
828	1311	270
829	1312	268
830	1313	267
831	1314	265
832	1315	263
833	1317	262
834	1318	260
835	1319	258
836	1321	257
837	1322	255
838	1324	254
839	1325	252
840	1326	250
841	1327	249
842	1329	247
843	1331	246
844	1332	244
845	1333	242
846	1334	241
847	1336	239
848	1337	237
849	1337	236
850	1338	234
851	1339	232
852	1341	231
853	1342	229
854	1343	227
855	1344	226
856	1345	224
857	1345	222
858	1346	221
859	1348	219
860	1349	217
861	1350	216
862	1351	214
863	1352	212
864	1353	211
865	1354	209
866	1355	207
867	1356	206
868	1357	204
869	1358	203
870	1359	201
871	1361	199
872	1362	198
873	1363	196
874	1364	194
875	1365	193
876	1366	191
877	1368	190
878	1369	188
879	1370	186
880	1371	185
881	1373	183
882	1374	182
883	1375	180
884	1376	178
885	1377	177
886	1378	175
887	1380	174
888	1381	172
889	1382	170
890	1383	169
891	1384	167
892	1385	166
893	1386	164
894	1388	162
895	1389	161
896	1391	159
897	1392	158
898	1393	156
899	1394	154
900	1395	153
901	1397	151
902	1398	150
903	1399	148
904	1400	147
905	1401	145
906	1402	143
907	1404	142
908	1405	140
909	1406	139
910	1407	137
911	1407	135
912	1408	134
913	1409	132
914	1410	131
915	1411	129
916	1412	127
917	1414	126
918	1415	124
919	1418	123
920	1420	121
921	1421	120
922	1425	118
923	1426	117
924	1427	115
925	1428	114
926	1433	112
927	1437	111
928	1439	110
929	1441	108
930	1443	107
931	1445	105
932	1446	103
933	1447	102
934	1450	100
935	1452	99
936	1453	97
937	1456	96
938	1457	94
939	1458	93
940	1459	91
941	1460	89
942	1461	88
943	1462	86
944	1463	85
945	1464	83
946	1467	82
947	1468	80
948	1470	79
949	1471	77
950	1472	75
951	1473	74
952	1475	72
953	1476	71
954	1477	69
955	1478	68
956	1478	66
957	1481	64
958	1482	63
959	1484	61
960	1485	60
961	1487	58
962	1489	57
963	1491	55
964	1493	54
965	1494	52
